claim_id,claimant_id,claim_type,claimed_area,gis_area,overlap_pct,overlapping_claims_count,name_similarity_score,survey_number_matched,missing_doc_count,historical_claim_count,is_anomaly
FRA_10061,CLM_665,CFR,2.28,2.31,1.87,0,0.89,YES,0,0,0
FRA_10062,CLM_205,CFR,1.79,1.81,8.5,0,0.87,YES,0,1,0
FRA_10063,CLM_576,IFR,3.77,3.62,4.78,0,0.93,YES,0,0,0
FRA_10064,CLM_501,IFR,3.4,3.25,1.05,0,0.93,YES,0,0,0
FRA_10065,CLM_655,IFR,2.94,2.98,8.2,0,0.92,YES,0,0,0
FRA_10066,CLM_261,IFR,3.0,2.93,3.08,0,0.98,YES,0,0,0
FRA_10067,CLM_301,CFR,2.12,2.13,7.3,0,0.95,YES,0,0,0
FRA_10068,CLM_369,IFR,3.72,1.49,77.03,3,0.52,NO,1,2,1
FRA_10069,CLM_370,IFR,2.93,5.28,78.94,2,0.69,YES,2,2,1
FRA_10070,CLM_555,IFR,3.05,3.19,6.28,1,0.95,YES,0,0,0
FRA_10071,CLM_561,IFR,3.52,3.47,5.5,0,0.9,YES,0,0,0
FRA_10072,CLM_351,IFR,1.46,1.44,8.16,0,0.86,YES,0,0,0
FRA_10073,CLM_395,IFR,3.32,3.18,4.99,0,0.87,YES,0,1,0
FRA_10074,CLM_437,IFR,1.18,1.23,4.52,1,0.85,YES,0,0,0
FRA_10075,CLM_152,IFR,1.71,1.73,4.57,0,0.92,YES,0,0,0
FRA_10076,CLM_316,IFR,1.67,1.71,1.35,0,0.88,YES,0,0,0
FRA_10077,CLM_287,IFR,3.92,3.93,1.11,0,0.89,YES,0,0,0
FRA_10078,CLM_479,IFR,3.5,3.56,0.38,0,0.95,YES,0,0,0
FRA_10079,CLM_592,IFR,2.95,2.82,3.64,0,0.87,YES,0,0,0
FRA_10080,CLM_140,IFR,3.04,2.98,5.3,0,0.94,YES,0,0,0
FRA_10081,CLM_256,IFR,2.47,2.39,8.79,0,0.98,YES,0,0,0
FRA_10082,CLM_114,IFR,3.81,3.86,5.24,0,0.92,YES,0,0,0
FRA_10083,CLM_164,IFR,2.24,2.17,3.15,0,0.99,YES,0,0,0
FRA_10084,CLM_620,IFR,1.83,1.8,1.95,0,0.9,YES,0,1,0
FRA_10085,CLM_443,CFR,1.07,1.05,3.94,0,0.97,YES,0,0,0
FRA_10086,CLM_228,IFR,3.25,3.23,9.96,0,0.98,YES,0,0,0
FRA_10087,CLM_571,IFR,3.07,3.16,6.18,0,0.98,YES,0,0,0
FRA_10088,CLM_162,IFR,1.85,1.79,5.67,0,0.94,YES,0,0,0
FRA_10089,CLM_238,IFR,0.59,1.06,42.63,4,0.66,NO,1,3,1
FRA_10090,CLM_598,IFR,3.44,3.42,0.48,0,0.97,YES,0,0,0
FRA_10091,CLM_692,IFR,0.54,0.53,8.0,0,0.97,YES,0,0,0
FRA_10092,CLM_491,IFR,2.96,3.05,5.99,0,0.99,YES,0,0,0
FRA_10093,CLM_518,IFR,3.9,3.94,2.2,0,0.94,YES,0,0,0
FRA_10094,CLM_388,IFR,2.03,1.94,6.04,0,0.93,YES,0,0,0
FRA_10095,CLM_478,CFR,1.32,1.34,0.8,0,0.87,YES,0,0,0
FRA_10096,CLM_589,IFR,2.97,2.88,3.87,0,0.91,YES,0,0,0
FRA_10097,CLM_330,IFR,3.36,3.35,3.83,0,0.87,YES,0,0,0
FRA_10098,CLM_140,IFR,2.41,2.31,0.71,0,0.93,YES,0,1,0
FRA_10099,CLM_127,IFR,3.88,3.91,9.6,0,0.86,YES,0,0,0
FRA_10100,CLM_234,IFR,0.68,0.66,5.41,0,0.86,YES,0,1,0
FRA_10101,CLM_300,IFR,2.27,2.34,2.97,0,0.88,YES,0,0,0
FRA_10102,CLM_132,IFR,3.01,2.9,5.19,0,0.9,YES,0,1,0
FRA_10103,CLM_147,CFR,3.52,3.58,9.49,0,0.91,YES,0,0,0
FRA_10104,CLM_602,CFR,1.13,1.08,0.04,0,0.95,YES,0,0,0
FRA_10105,CLM_506,IFR,3.3,3.3,4.15,0,0.9,YES,0,0,0
FRA_10106,CLM_673,IFR,2.43,2.34,9.57,0,0.96,YES,0,0,0
FRA_10107,CLM_198,IFR,1.89,1.87,2.37,0,0.88,YES,0,0,0
FRA_10108,CLM_646,IFR,0.96,0.98,5.47,0,0.99,YES,0,0,0
FRA_10109,CLM_561,IFR,3.53,3.45,3.5,0,1.0,YES,0,0,0
FRA_10110,CLM_104,CFR,1.05,1.89,92.7,2,0.39,NO,3,5,1
FRA_10111,CLM_317,IFR,1.58,1.66,1.81,0,0.9,YES,0,0,0
FRA_10112,CLM_602,CFR,1.52,1.5,5.78,0,0.97,YES,0,1,0
FRA_10113,CLM_497,IFR,3.55,3.39,6.92,0,0.91,YES,0,0,0
FRA_10114,CLM_492,IFR,2.85,2.83,5.2,1,0.87,YES,0,0,0
FRA_10115,CLM_306,IFR,3.29,3.25,1.33,0,0.99,YES,0,1,0
FRA_10116,CLM_114,CFR,1.38,0.55,94.49,2,0.44,NO,3,5,1
FRA_10117,CLM_653,IFR,2.69,2.74,5.89,1,0.9,YES,0,0,0
FRA_10118,CLM_560,CFR,2.5,2.54,1.99,0,0.88,YES,0,0,0
FRA_10119,CLM_674,IFR,3.41,3.53,2.55,0,0.86,YES,0,0,0
FRA_10120,CLM_340,IFR,3.67,3.61,7.45,0,0.88,YES,0,0,0
FRA_10121,CLM_663,CFR,0.54,0.52,4.41,0,0.99,YES,0,0,0
FRA_10122,CLM_195,IFR,2.86,2.91,1.83,0,0.91,YES,0,1,0
FRA_10123,CLM_584,IFR,0.68,0.66,0.91,0,0.87,YES,0,0,0
FRA_10124,CLM_506,IFR,2.42,2.44,0.61,0,0.96,YES,0,0,0
FRA_10125,CLM_330,CFR,1.51,1.45,2.54,0,0.89,YES,0,0,0
FRA_10126,CLM_270,CFR,1.57,2.83,69.63,2,0.43,NO,3,5,1
FRA_10127,CLM_640,IFR,1.74,1.75,2.96,0,0.9,YES,0,0,0
FRA_10128,CLM_135,IFR,2.67,2.59,7.91,0,0.92,YES,0,0,0
FRA_10129,CLM_624,CFR,1.67,1.68,0.67,0,0.88,YES,0,0,0
FRA_10130,CLM_259,IFR,3.06,3.15,7.15,0,0.85,YES,0,0,0
FRA_10131,CLM_342,IFR,1.92,4.79,35.83,4,0.65,NO,2,2,1
FRA_10132,CLM_185,CFR,0.74,0.7,1.54,0,0.92,YES,0,0,0
FRA_10133,CLM_677,IFR,3.24,3.3,6.79,1,1.0,YES,0,0,0
FRA_10134,CLM_656,IFR,1.5,3.75,42.98,4,0.32,NO,1,3,1
FRA_10135,CLM_673,IFR,2.01,1.97,2.21,0,0.98,YES,0,0,0
FRA_10136,CLM_127,CFR,2.9,1.16,49.34,2,0.6,NO,3,5,1
FRA_10137,CLM_655,CFR,1.66,1.74,6.46,1,0.9,YES,0,0,0
FRA_10138,CLM_439,CFR,0.7,0.72,6.92,1,0.91,YES,0,0,0
FRA_10139,CLM_430,IFR,1.81,1.84,7.29,0,0.88,YES,0,0,0
FRA_10140,CLM_605,CFR,3.81,3.73,4.27,0,0.96,YES,0,0,0
FRA_10141,CLM_447,CFR,2.75,6.87,35.41,3,0.38,YES,1,5,1
FRA_10142,CLM_572,IFR,2.85,2.92,8.97,0,0.88,YES,0,1,0
FRA_10143,CLM_330,CFR,2.71,2.68,3.39,0,0.92,YES,0,0,0
FRA_10144,CLM_289,IFR,1.2,1.17,3.17,0,0.98,YES,0,0,0
FRA_10145,CLM_324,IFR,1.96,2.03,8.57,0,0.87,YES,0,0,0
FRA_10146,CLM_484,IFR,3.13,3.27,6.83,0,0.93,YES,0,0,0
FRA_10147,CLM_476,IFR,0.85,1.54,49.61,3,0.42,YES,2,2,1
FRA_10148,CLM_382,IFR,1.47,1.42,9.52,0,0.95,YES,0,0,0
FRA_10149,CLM_358,IFR,1.47,1.51,9.46,0,0.98,YES,0,0,0
FRA_10150,CLM_458,IFR,2.01,2.05,7.42,0,0.89,YES,0,1,0
FRA_10151,CLM_555,IFR,3.93,3.8,0.54,0,0.92,YES,0,0,0
FRA_10152,CLM_510,IFR,0.74,0.73,1.68,0,0.93,YES,0,0,0
FRA_10153,CLM_417,IFR,2.32,2.37,5.11,0,0.92,YES,0,0,0
FRA_10154,CLM_324,IFR,1.13,1.16,7.09,0,0.98,YES,0,0,0
FRA_10155,CLM_333,CFR,3.9,3.97,3.63,0,0.96,YES,0,0,0
FRA_10156,CLM_473,IFR,0.9,0.89,8.86,0,0.99,YES,0,0,0
FRA_10157,CLM_571,IFR,1.91,1.94,2.71,0,0.99,YES,0,0,0
FRA_10158,CLM_332,CFR,3.08,3.17,3.93,0,0.85,YES,0,0,0
FRA_10159,CLM_212,IFR,2.97,3.11,3.69,0,0.9,YES,0,0,0
FRA_10160,CLM_596,IFR,1.98,1.97,8.8,0,0.93,YES,0,0,0
FRA_10161,CLM_541,IFR,1.71,1.8,2.5,0,0.95,YES,0,0,0
FRA_10162,CLM_663,CFR,1.89,1.88,4.22,0,0.88,YES,0,0,0
FRA_10163,CLM_367,IFR,1.42,1.45,4.19,0,0.89,YES,0,0,0
FRA_10164,CLM_609,CFR,1.22,1.22,3.21,0,1.0,YES,0,0,0
FRA_10165,CLM_485,IFR,2.19,2.28,3.45,0,0.88,YES,0,0,0
FRA_10166,CLM_486,CFR,1.44,1.4,0.0,1,0.98,YES,0,0,0
FRA_10167,CLM_212,CFR,1.51,3.77,80.17,4,0.33,YES,1,5,1
FRA_10168,CLM_180,CFR,2.8,2.78,1.19,0,0.9,YES,0,0,0
FRA_10169,CLM_212,IFR,3.89,3.94,7.19,0,0.86,YES,0,1,0
FRA_10170,CLM_101,CFR,2.61,2.54,0.54,0,0.86,YES,0,0,0
FRA_10171,CLM_319,IFR,0.77,0.79,3.41,0,0.95,YES,0,0,0
FRA_10172,CLM_665,IFR,0.76,0.79,8.66,0,0.97,YES,0,0,0
FRA_10173,CLM_324,IFR,3.83,4.02,4.83,1,0.96,YES,0,0,0
FRA_10174,CLM_484,CFR,1.54,1.55,9.92,0,0.86,YES,0,0,0
FRA_10175,CLM_502,CFR,0.82,0.81,0.07,0,0.89,YES,0,0,0
FRA_10176,CLM_229,CFR,2.6,2.55,8.28,0,0.9,YES,0,0,0
FRA_10177,CLM_152,IFR,2.68,2.61,0.68,0,0.93,YES,0,0,0
FRA_10178,CLM_515,IFR,2.77,2.75,3.77,0,0.99,YES,0,0,0
FRA_10179,CLM_346,IFR,1.44,1.41,1.07,1,0.86,YES,0,0,0
FRA_10180,CLM_538,IFR,0.55,0.54,3.2,0,0.97,YES,0,0,0
FRA_10181,CLM_302,IFR,3.88,3.93,1.24,0,0.99,YES,0,0,0
FRA_10182,CLM_283,IFR,1.38,1.42,5.45,0,0.99,YES,0,0,0
FRA_10183,CLM_222,IFR,2.87,2.97,1.69,0,0.85,YES,0,0,0
FRA_10184,CLM_500,IFR,2.97,3.05,9.35,1,0.97,YES,0,1,0
FRA_10185,CLM_393,IFR,2.64,2.56,2.84,0,0.91,YES,0,0,0
FRA_10186,CLM_379,IFR,1.6,1.6,1.6,0,0.88,YES,0,0,0
FRA_10187,CLM_297,IFR,1.45,1.45,7.96,0,0.95,YES,0,0,0
FRA_10188,CLM_610,CFR,2.59,2.6,0.87,0,0.91,YES,0,0,0
FRA_10189,CLM_243,IFR,3.53,3.45,9.56,1,0.9,YES,0,0,0
FRA_10190,CLM_300,IFR,3.81,3.69,3.92,1,0.87,YES,0,0,0
FRA_10191,CLM_223,IFR,0.87,0.84,9.81,0,0.97,YES,0,0,0
FRA_10192,CLM_286,IFR,1.04,2.6,72.71,2,0.36,YES,3,5,1
FRA_10193,CLM_425,CFR,3.81,3.95,6.25,0,0.86,YES,0,0,0
FRA_10194,CLM_563,CFR,3.08,3.02,6.36,0,0.87,YES,0,0,0
FRA_10195,CLM_448,IFR,3.59,3.7,3.82,0,0.88,YES,0,0,0
FRA_10196,CLM_502,IFR,1.21,1.19,6.43,0,0.95,YES,0,0,0
FRA_10197,CLM_445,CFR,2.56,6.39,77.76,3,0.49,NO,3,3,1
FRA_10198,CLM_610,CFR,2.95,3.07,3.43,0,0.85,YES,0,0,0
FRA_10199,CLM_246,IFR,2.88,2.83,0.56,0,0.89,YES,0,0,0
FRA_10200,CLM_247,IFR,1.93,1.85,1.47,0,0.86,YES,0,1,0
FRA_10201,CLM_588,IFR,0.55,0.53,4.84,0,0.9,YES,0,1,0
FRA_10202,CLM_650,CFR,2.54,2.45,9.66,0,0.96,YES,0,0,0
FRA_10203,CLM_437,IFR,1.39,1.44,5.54,0,0.88,YES,0,0,0
FRA_10204,CLM_572,CFR,2.08,2.16,3.28,0,0.96,YES,0,0,0
FRA_10205,CLM_250,IFR,3.85,6.93,65.12,4,0.65,NO,3,5,1
FRA_10206,CLM_514,IFR,1.9,1.89,2.27,0,0.99,YES,0,0,0
FRA_10207,CLM_397,IFR,3.44,3.39,9.62,0,0.92,YES,0,0,0
FRA_10208,CLM_362,IFR,1.16,1.21,5.69,0,0.97,YES,0,0,0
FRA_10209,CLM_243,IFR,2.85,2.83,8.48,0,0.97,YES,0,1,0
FRA_10210,CLM_445,IFR,3.92,3.97,7.42,0,0.98,YES,0,0,0
FRA_10211,CLM_671,IFR,0.86,0.82,4.02,0,0.92,YES,0,0,0
FRA_10212,CLM_101,CFR,0.53,0.52,6.35,0,0.96,YES,0,0,0
FRA_10213,CLM_403,IFR,2.02,1.96,2.92,0,0.92,YES,0,0,0
FRA_10214,CLM_353,IFR,0.82,0.33,58.75,3,0.47,NO,2,2,1
FRA_10215,CLM_552,CFR,3.12,3.18,2.52,0,0.87,YES,0,0,0
FRA_10216,CLM_136,CFR,3.7,3.52,0.39,1,0.89,YES,0,0,0
FRA_10217,CLM_259,CFR,2.02,2.09,5.51,0,0.96,YES,0,0,0
FRA_10218,CLM_108,CFR,1.41,1.44,7.7,1,0.94,YES,0,0,0
FRA_10219,CLM_332,IFR,2.02,2.05,0.68,0,0.87,YES,0,0,0
FRA_10220,CLM_198,IFR,3.03,3.13,5.97,0,0.92,YES,0,1,0
FRA_10221,CLM_307,CFR,0.53,0.96,47.42,2,0.34,YES,3,2,1
FRA_10222,CLM_230,IFR,2.56,2.48,4.3,0,0.96,YES,0,0,0
FRA_10223,CLM_503,IFR,2.65,6.62,43.43,3,0.38,NO,1,2,1
FRA_10224,CLM_251,CFR,2.73,2.75,8.58,0,0.92,YES,0,1,0
FRA_10225,CLM_153,IFR,1.35,1.38,9.3,0,0.89,YES,0,0,0
FRA_10226,CLM_219,IFR,3.0,3.07,1.21,0,0.93,YES,0,0,0
FRA_10227,CLM_686,IFR,0.82,1.48,44.98,3,0.58,YES,2,2,1
FRA_10228,CLM_519,IFR,1.2,1.15,1.21,0,0.88,YES,0,0,0
FRA_10229,CLM_521,IFR,3.57,3.57,0.25,0,0.91,YES,0,0,0
FRA_10230,CLM_203,IFR,3.09,2.97,7.28,0,0.89,YES,0,0,0
FRA_10231,CLM_353,CFR,0.55,0.54,5.07,0,0.96,YES,0,0,0
FRA_10232,CLM_326,IFR,1.37,1.32,0.7,0,0.91,YES,0,0,0
FRA_10233,CLM_211,IFR,1.25,2.25,79.23,3,0.64,NO,2,5,1
FRA_10234,CLM_609,CFR,1.45,1.38,0.5,0,0.86,YES,0,0,0
FRA_10235,CLM_572,CFR,1.37,1.39,3.37,0,0.89,YES,0,0,0
FRA_10236,CLM_198,CFR,0.72,0.29,60.75,2,0.48,YES,2,5,1
FRA_10237,CLM_252,CFR,2.11,2.05,8.28,0,1.0,YES,0,0,0
FRA_10238,CLM_437,IFR,3.06,7.66,37.19,3,0.45,YES,3,2,1
FRA_10239,CLM_262,IFR,2.62,2.71,2.62,0,0.86,YES,0,0,0
FRA_10240,CLM_260,IFR,2.86,2.88,5.71,0,0.9,YES,0,0,0
FRA_10241,CLM_679,IFR,0.78,0.77,0.99,0,0.99,YES,0,1,0
FRA_10242,CLM_497,IFR,3.83,1.53,71.05,2,0.41,NO,1,3,1
FRA_10243,CLM_376,IFR,3.43,3.43,7.58,0,0.9,YES,0,1,0
FRA_10244,CLM_603,IFR,3.32,3.17,4.86,1,0.94,YES,0,0,0
FRA_10245,CLM_491,IFR,3.38,3.3,3.43,0,0.93,YES,0,0,0
FRA_10246,CLM_234,IFR,3.76,3.61,0.16,1,0.91,YES,0,0,0
FRA_10247,CLM_294,IFR,2.4,2.3,6.83,1,0.94,YES,0,0,0
FRA_10248,CLM_500,IFR,1.2,1.21,7.66,0,0.98,YES,0,0,0
FRA_10249,CLM_132,IFR,2.66,4.79,78.15,2,0.35,NO,2,5,1
FRA_10250,CLM_559,CFR,3.1,3.15,4.02,0,0.94,YES,0,0,0
FRA_10251,CLM_569,IFR,3.08,3.04,2.09,0,0.99,YES,0,1,0
FRA_10252,CLM_474,IFR,2.33,2.31,2.53,0,0.98,YES,0,0,0
FRA_10253,CLM_121,IFR,0.74,0.77,3.42,1,0.98,YES,0,0,0
FRA_10254,CLM_137,CFR,1.8,1.77,0.09,0,0.9,YES,0,0,0
FRA_10255,CLM_329,IFR,3.72,3.72,4.03,0,0.94,YES,0,0,0
FRA_10256,CLM_464,IFR,2.55,2.67,1.87,0,0.92,YES,0,0,0
FRA_10257,CLM_662,IFR,2.38,2.29,4.29,0,0.88,YES,0,0,0
FRA_10258,CLM_537,IFR,1.44,1.5,9.98,0,0.89,YES,0,0,0
FRA_10259,CLM_382,CFR,1.79,1.77,2.42,0,0.99,YES,0,1,0
FRA_10260,CLM_126,CFR,3.63,3.47,3.39,0,0.89,YES,0,0,0
FRA_10261,CLM_325,IFR,2.83,2.87,8.51,0,0.93,YES,0,0,0
FRA_10262,CLM_376,CFR,3.26,3.18,5.93,0,0.87,YES,0,0,0
FRA_10263,CLM_383,CFR,2.09,2.05,9.24,0,0.89,YES,0,0,0
FRA_10264,CLM_580,IFR,2.71,2.75,1.18,1,0.98,YES,0,0,0
FRA_10265,CLM_552,CFR,1.37,1.39,0.17,0,0.97,YES,0,0,0
FRA_10266,CLM_615,IFR,2.97,2.9,5.85,0,0.99,YES,0,0,0
FRA_10267,CLM_646,IFR,2.0,2.06,5.08,0,0.9,YES,0,0,0
FRA_10268,CLM_291,IFR,2.05,2.12,4.67,0,0.93,YES,0,0,0
FRA_10269,CLM_148,CFR,2.77,2.76,9.39,0,0.92,YES,0,0,0
FRA_10270,CLM_611,IFR,3.78,3.85,8.64,1,0.91,YES,0,0,0
FRA_10271,CLM_116,CFR,0.72,0.69,7.27,0,0.88,YES,0,0,0
FRA_10272,CLM_271,CFR,3.39,3.24,8.23,0,0.91,YES,0,0,0
FRA_10273,CLM_319,IFR,1.52,1.58,6.51,0,0.88,YES,0,0,0
FRA_10274,CLM_257,CFR,2.05,2.1,9.73,0,0.85,YES,0,0,0
FRA_10275,CLM_576,IFR,0.58,0.57,8.21,0,0.92,YES,0,0,0
FRA_10276,CLM_145,IFR,1.55,1.48,4.5,0,0.9,YES,0,0,0
FRA_10277,CLM_472,IFR,2.26,2.26,1.25,1,0.95,YES,0,0,0
FRA_10278,CLM_617,IFR,0.7,0.67,0.47,0,0.88,YES,0,0,0
FRA_10279,CLM_198,CFR,2.22,3.99,62.42,4,0.61,NO,2,2,1
FRA_10280,CLM_136,CFR,3.74,3.77,7.92,1,0.89,YES,0,0,0
FRA_10281,CLM_379,IFR,0.87,0.9,7.85,0,0.99,YES,0,0,0
FRA_10282,CLM_448,IFR,3.18,3.31,0.51,0,0.98,YES,0,0,0
FRA_10283,CLM_596,IFR,1.93,1.93,3.24,1,0.97,YES,0,0,0
FRA_10284,CLM_401,IFR,2.79,2.82,8.21,0,0.92,YES,0,0,0
FRA_10285,CLM_280,CFR,1.41,1.39,0.64,0,0.87,YES,0,1,0
FRA_10286,CLM_198,IFR,1.06,1.06,7.13,0,0.89,YES,0,0,0
FRA_10287,CLM_215,IFR,1.06,1.09,6.25,1,0.95,YES,0,0,0
FRA_10288,CLM_290,IFR,0.75,0.75,9.42,0,0.85,YES,0,0,0
FRA_10289,CLM_352,IFR,1.15,1.17,7.49,0,0.98,YES,0,1,0
FRA_10290,CLM_260,CFR,2.82,2.75,8.83,0,0.86,YES,0,0,0
FRA_10291,CLM_355,IFR,3.59,3.43,8.45,0,0.89,YES,0,0,0
FRA_10292,CLM_422,CFR,3.35,3.28,0.91,0,0.87,YES,0,1,0
FRA_10293,CLM_227,IFR,2.9,2.99,0.14,0,0.85,YES,0,0,0
FRA_10294,CLM_117,CFR,0.89,0.85,3.36,0,0.97,YES,0,0,0
FRA_10295,CLM_665,IFR,1.51,1.54,1.88,0,0.89,YES,0,0,0
FRA_10296,CLM_669,IFR,1.58,1.53,1.82,0,0.98,YES,0,0,0
FRA_10297,CLM_422,CFR,1.37,1.4,6.54,0,0.89,YES,0,0,0
FRA_10298,CLM_387,IFR,2.3,2.4,6.6,0,0.87,YES,0,0,0
FRA_10299,CLM_254,CFR,2.37,0.95,87.02,3,0.35,NO,2,2,1
FRA_10300,CLM_589,IFR,1.75,1.75,6.9,0,0.9,YES,0,1,0
FRA_10301,CLM_485,IFR,1.74,1.68,1.73,0,0.87,YES,0,0,0
FRA_10302,CLM_203,IFR,3.4,3.27,8.22,0,0.96,YES,0,0,0
FRA_10303,CLM_492,IFR,3.26,3.41,7.11,0,0.96,YES,0,0,0
FRA_10304,CLM_345,IFR,1.58,1.62,5.22,0,0.97,YES,0,0,0
FRA_10305,CLM_275,IFR,3.7,1.48,77.96,4,0.34,NO,2,3,1
FRA_10306,CLM_138,IFR,3.83,3.87,7.4,0,0.98,YES,0,0,0
FRA_10307,CLM_576,IFR,1.64,1.7,4.6,0,0.87,YES,0,1,0
FRA_10308,CLM_637,IFR,1.74,1.67,1.99,0,0.94,YES,0,0,0
FRA_10309,CLM_507,CFR,2.27,2.18,2.9,0,0.88,YES,0,0,0
FRA_10310,CLM_624,CFR,3.79,3.87,2.17,0,0.91,YES,0,1,0
FRA_10311,CLM_605,CFR,3.57,3.73,8.0,0,0.86,YES,0,0,0
FRA_10312,CLM_135,IFR,0.86,0.84,5.06,0,0.98,YES,0,0,0
FRA_10313,CLM_119,IFR,1.87,1.85,6.87,0,0.86,YES,0,0,0
